,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105
63,,1355 - 1520,Дифференциальные уравнения/ профессор Бишаев А.М./ 115 КПМ,,,,,,,,,,1355 - 1520,,,,,,,,,,,,,,,,1355 - 1520,,,,,,Общая физика: лабораторный практикум,Теория вероятностей 511 ГК,,,Иностранный язык,Иностранный язык,Иностранный язык,,1355 - 1520,Общая физика: лабораторный практикум,Физическая культура,,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,,Физическая культура,,1355 - 1520,Теория вероятностей 524 ГК,,,Теория вероятностей 522 ГК,Теория вычислительной сложности 527 ГК,Общая физика      523 ГК,Теория вероятностей 525 ГК,Физическая культура,,1355 - 1520,,,Иностранный язык,Теория колец и полей/ ассистент Ильинский Д.Г. / 239 НК,,,,Теория колец и полей/ ассистент Ильинский Д.Г. / 115 КПМ,,Иностранный язык,Теория колец и полей/ ассистент Ильинский Д.Г. / 239 НК,,,,,,,,Теория вероятностей 428 ГК,,Физическая культура,,1355 - 1520,"Физическая химия (по неч. нед.)/ к.х.н. Инденбом А.В., ст.преп. Траньков С.В./Акт.зал ",,,"Основы физической химии (по неч. нед.)/ к.х.н. Инденбом А.В., ст.преп. Траньков С.В./Акт.зал ",,,,,1355 - 1520,ТФКП,ТФКП,,,1355 - 1520,Общая физика: лабораторный практикум,Случайные процессы и математическая статистика 520 ГК,,1355 - 1520,Цифровизация физических процессов (чет.неделя),Цифровизация физических процессов (нечет.неделя),
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
65,,1530 - 1655,,,,,,,,,,,1530 - 1655,,,,Дифференциальные уравнения 513  ГК,,Дифференциальные уравнения  514 ГК,,,,,,,Дифференциальные уравнения 516 ГК,,,1530 - 1655,Гармонический анализ  418 ГК,,,,,,Лабораторный практикум по механике сплошных сред: гидрогазодин.  (чет.нед.) кафедра физической механики (корпус УПМ),,,Экономика развития/ факультатив / Киреев В. Б./ 241 ауд.,,,,1530 - 1655,,Дифференциальные уравнения 424 ГК,,,,,,,1530 - 1655,,Алгоритмы и модели вычислений 302 КПМ,Базы данных 319 ЛК,,,,,Алгоритмы и модели вычислений 420 ГК,,1530 - 1655,,Практикум по объектно-ориентированному программированию УЛК 2 № 425,,,,Физическая культура,,,,,Теория вероятностей УЛК 2 № 424,Базы данных ,Базы данных ,,,,АКОС  416 ГК,,Физическая культура,Физическая культура,Алгоритмы и структуры данных 204 УПМ,,1530 - 1655,Физ.химия (по чет.нед) 528 ГК,,Информатика   804 КПМ,Гармонический анализ 426 ГК,,,Анатомия и физиология человека 518 ГК,,1530 - 1655,,,,,1530 - 1655,,,,1530 - 1655,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Иностранный язык,Иностранный язык,,,,,,,,,,
67,,1705 - 1830,"Компьютерные технологии  
",,,,"Компьютерные технологии  
",,Физическая культура,,Физическая культура,,1705 - 1830,,Физическая культура,Физическая культура,,Физическая культура,,Дифференциальные уравнения  514 ГК,Физическая культура,Дифференциальные уравнения  424 ГК,Дифференциальные уравнения  411 ГК,,,,Дифференциальные уравнения 516 ГК,,1705 - 1830,,,,,Физическая культура,Общая физика             522 ГК,,,,Основы прочности /д.ф.м.н. Медвецкий А. Л./ 241 ауд.,,,,1705 - 1830,,,,,,,,,1705 - 1830,Алгоритмы и модели вычислений 420 ГК,,Физическая культура,Базы данных 324а ЛК,Физическая культура,Физическая культура,Физическая культура,,,1705 - 1830,Физическая культура,,Теория вероятностей 422 ГК,,Теория колец и полей 416 ГК,,А.К. № 1: 1 из 2 (для ПМИ-информ.) Олимпиадное программирование/418 ГК/Педагогический практикум/419 ГК,Теория вероятностей 420 ГК,,Теория колец и полей 426 ГК,АКОС УЛК 1 № 2.35,,,,А.К. № 1: 1 из 2 (для ПМИ-информ.) Олимпиадное программирование/418 ГК/Педагогический практикум/419 ГК,Физическая культура,,,,,,,1705 - 1830,,,,,,,Основы физической химии: лаб.практикум,,1705 - 1830,,,,,1705 - 1830,Иностранный язык,,,1705 - 1830,Математическая логика и теория алгоритмов 409 ГК,Физическая культура,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,1835 - 2000,,,,,,,,,,,1835 - 2000,,,,,,,,,,,,,,,,1835 - 2000,,,,,,,,,,,,,,1835 - 2000,,,,,,,,,1835 - 2000,Презентации кафедр ФПМИ/ Б.Хим.,,,,,,,,,1835 - 2000,Презентации кафедр ФПМИ/ Б.Хим.,,,,Презентации кафедр ФПМИ/ Б.Хим.,,А.К. № 1: 1 из 2 (для ПМИ-информ.) Олимпиадное программирование/418 ГК/Педагогический практикум/419 ГК,Презентации кафедр ФПМИ/ Б.Хим.,,ТиПМС УЛК 1 № 5.18,Презентации кафедр ФПМИ/ Б.Хим.,,,,А.К. № 1: 1 из 2 (для ПМИ-информ.) Олимпиадное программирование/418 ГК/Педагогический практикум/419 ГК,Презентации кафедр ФПМИ/ Б.Хим.,,,,,Базы данных 515 ГК,,1835 - 2000,,,,,,,,,1835 - 2000,Занятия в г. Москве,,,,1835 - 2000,,Физическая культура,,1835 - 2000,,Математическая статистика 520 ГК,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,900 - 1025,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Методы обработки радиотехнических сигналов,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Физическая культура,,Методы обработки радиотехнических сигналов,,,900 - 1025,Дифференциальные уравнения/ доцент Ремизов А.О./ Акт. Зал,,,,,,,,,,,,,,,900 - 1025,,,,,,,,,Общая физика: лабораторный практикум,,,,,900 - 1025,Физическая культура,Гармонический анализ 409 ГК,,,,Физическая культура,,,900 - 1025,Базы данных ,Базы данных ,,Физическая культура,,,Физическая культура,,,900 - 1025,,,Теория и практика многопоточной синхронизации / Липовский Р./ УЛК 2 поточ. ауд. 4 эт. ,,,,Дифференциальные уравнения 417 ГК,,,Физическая культура,,Физическая культура,,,,,,,,,Гармонический анализ  413 ГК,,900 - 1025,,,Дифференциальные уравнения 415 ГК,,,Гармонический анализ 411 ГК,,,900 - 1025,,,,,900 - 1025,Случайные процессы и математическая статистика 416 ГК,Общая физика: лабораторный практикум,,900 - 1025,,Физическая культура,
73,Суббота,,,,,,,,,,,Суббота,,,,,,,,,,,,,,,,Суббота,,,,,,,,,,,,,,Суббота,,,,,,,,,Суббота,,,,,,,,,,Суббота,,,,,,,,,,,,,,,,,,,,,,,Суббота,,,,,,,,,Суббота,,,,,Суббота,,,,Суббота,,,,
74,,1045 - 1210,,,,,,Аналитическая механика 414 ГК,Компьютерные технологии   ,,,,1045 - 1210,,Гармонический анализ (модерн.) 416 ГК/класс.) 417 ГК,Гармонический анализ (модерн.1)  416 ГК/(модерн.2)  419 ГК/ (класс.) 417 ГК,Физическая культура,Физическая культура,,,,Физическая культура,Гармонический анализ (модерн.1)  535 ГК/(модерн.2)  419 ГК/(класс.) 417 ГК,Дифференциальные уравнения 409 ГК    ,Физическая культура,,Физическая культура,,1045 - 1210,Введение в механику сплошных сред: гидрогазодинамика 432 ГК,,Введение в механику сплошных сред: гидрогазодинамика 432 ГК,,,Введение в механику сплошных сред: гидрогазодинамика 432 ГК,Введение в механику сплошных сред: гидрогазодинамика  424 ГК,,,,,,,1045 - 1210,Аналитическая механика/ доцент Муницына М.А./ 239 НК,,,,,,,,1045 - 1210,Общая физика: оптика/ доцент Клёнов С.Л./ Гл.Физ.,,,,,,,,,1045 - 1210,Дифференциальные уравнения/ профессор Жуковский С.Е./Б.Физ.,,,,,,,,,,,,,,,,,,,АКОС  806 КПМ,,,1045 - 1210,Информатика/доцент Герцев М.Н/521 ГК,,,,Гармонический анализ 411 ГК,,,,1045 - 1210,,,,,1045 - 1210,,,,1045 - 1210,,Гармонический анализ 412 ГК,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
76,,1220 - 1345,,,"Компьютерные технологии  
",,Общая физика              514 ГК,Компьютерные технологии  ,,"Компьютерные технологии  
",,,1220 - 1345,Общая физика            513 ГК,,,,,,,Дифференциальные уравнения 409 ГК    ,,,,,Общая физика  515 ГК,,,1220 - 1345,,,Дифференциальные уравнения  411  ГК,,Лаборатория основ радиотехники,Аналитическая механика 417 ГК,Гармонический анализ  414 ГК,,Гармонический анализ  412 ГК,,,,,1220 - 1345,,,,,,,,,1220 - 1345,Базы данных/ Б. Хим.,,,,,,,,,1220 - 1345,Алгоритмы обработки строк и теории чисел/Троян-Головян Владислав / 532 ГК,,Базы данных/  Б. Хим.,,,,,,,,Базы данных 806 КПМ,Базы данных/  Б. Хим.,,,,,,,,,Дифференциальные уравнения 419 ГК,,1220 - 1345,,Дифференциальные уравнения 415 ГК, Физическая химия: лаб.практикум,Алгоритмы и структуры данных /доцент Герцев М.Н/521 ГК,,,,,1220 - 1345,Программные интерфейсы операционной системы UNIX,,,,1220 - 1345,,,,1220 - 1345,,Математическая логика и теория алгоритмов 413 ГК,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,1355 - 1520,,Физическая культура,,Общая физика              512 ГК,,,,,,,1355 - 1520,Физическая культура,Дифференциальные уравнения 409  ГК,Общая физика: лабораторный практикум,,Аналитическая механика 411 ГК,Аналитическая механика 411 ГК,Аналитическая механика 412 ГК,,,,Общая физика: лабораторный практикум,,Физическая культура,,,1355 - 1520,Физическая культура,,Физическая культура,,,Гармонический анализ  414 ГК,Методы решения систем линейных алгебраических уравнений,,,,,Базы данных / 204 ауд.,,1355 - 1520,Практика программирования с использованием С++  (по чет. нед.) старший преподаватель Петров Д.И./ Акт.зал,,,,,,,,1355 - 1520,,Программирование на языке Python 701 КПМ,Теория вычислительной сложности 424 ГК,,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,,Общая физика   511 ГК            ,,1355 - 1520,Практикум по объектно-ориентированному программированию 706 КПМ,Дифференциальные уравнения  415  ГК,Дифференциальные уравнения 416 ГК,,,Гармонический анализ 417 ГК,,,,Гармонический анализ 418 ГК,,,,,,,,,,,,,1355 - 1520,Физическая культура,,,Алгоритмы и структуры данных,Алгоритмы и структуры данных,Алгоритмы и структуры данных,Алгоритмы и структуры данных,,1355 - 1520,,,,,1355 - 1520,,,,1355 - 1520,Физическая культура,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,1530 - 1655,,Методы обработки радиотехнических сигналов,,Методы обработки радиотехнических сигналов,,,,Физическая культура,,,1530 - 1655,,,,,,Физическая культура,Физическая культура,,,Физическая культура,,,,,,1530 - 1655,,,,,Физическая культура,Физическая культура,,,,,,,,1530 - 1655,Практика программир. с использованием С++,Практика программир. с использованием С++,Практика программир. с использованием С++,Практика программир. с использованием С++   ,Практика программир. с использованием С++   ,Практика программир. с использованием С++   ,Практика программир. с использованием С++   ,,1530 - 1655,Аналитическая механика 409 ГК,Физическая культура,,Алгоритмы и модели вычислений 428 ГК,,,Базы данных 208 УПМ,Базы данных 806 КПМ,,1530 - 1655,,,,,"Теория вероятностей       
   529 ГК","Теория вероятностей       
   529 ГК",,,,,,,,,,Гармонический анализ 417 ГК,,,АКОС  806 КПМ,Теория вероятностей 413 ГК,,,1530 - 1655,Информатика    706 КПМ,,,,,,,,1530 - 1655,,,,,1530 - 1655,не занимать ,,,1530 - 1655,,,4.0
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,1705 - 1830,,,Гармонический анализ 409 ГК,,,,,,,,1705 - 1830,Прикладная статистика  /ассистент  Калиниченко О.И. / УЛК 1 № 4.18-5.17,,,,,,,,,,,,,,,1705 - 1830,,,,,,,,,,,,,,1705 - 1830,,,,,,,,,1705 - 1830,Введение в анализ данных/ к.ф-м.н. Волков Н.А. (факультатив)/УЛК-2 Поточная аудитория 4 этажа,,,,,,,,,1705 - 1830,,Алгоритмы обработки строк и теории чисел 415 ГК,,Введение в анализ данных/ к.ф-м.н. Волков Н.А. /УЛК-2 Поточная аудитория 4 этажа,,,,,,,,,,,,,,,,Введение в анализ данных/ к.ф-м.н. Волков Н.А. (факультатив)/УЛК-2 Поточная аудитория 4 этажа,,,1705 - 1830,,Физическая культура,Физическая культура,Физическая культура,,,,,1705 - 1830,,,,,1705 - 1830,,,,1705 - 1830,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,1835 - 2000,,,,,,,,,,,1835 - 2000,Прикладная статистика  / УЛК 1 № 4.18-5.17,,,,,,,,,,,,,,,1835 - 2000,,,,,,,,,,,,,,1835 - 2000,,,,,,,Аналитическая механика 409 ГК,,1835 - 2000,,,,,,,,,,1835 - 2000,,,,,,,,,,,,,,,,,,,,,,,1835 - 2000,,,,,,,,,1835 - 2000,Занятия в г. Москве,,,,1835 - 2000,,,,1835 - 2000,,,
